Generation,Manufacturer,Name,Model,Proceed,Succeed,Location,Product Line,Family,Type,Date,Num Sold,Price,Clone,CPU Family,,Bits,CPU,CPU part label,Speed,Chip 2,Chip 3,Chip 4,Chip 5,Game medium,Game Count,RAM,Graphics,Ram other,Reference 1,Ref 1 Date,Reference 2,Ref 2 Date,Reference 3,Ref 3 Date,Reference 4,Ref 4 Date,Reference 5,Ref 5 Date,Photo 1 link,Photo 1 Date,Photo 2 link,Photo 2 Date,Photo 3 link,Photo 3 Date,Photo 4 link,Photo 4 Date,Notes
,Nanica,Nanica Smitch,,,,Columbia,,,Handheld,2019,,,Clone: NES,,,,,,,,,,,Built-in,800,,,,https://en.wikipedia.org/wiki/Nintendo_Entertainment_System_hardware_clone,01/10/21,https://bootleggames.fandom.com/wiki/Nanica_Smitch,01/10/21,,,,,,,,,,,,,,,
,NASA,NS-90AP,,,,,,,,,,,Clone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEC,PDE LD1,,,,,,,Console,1994,,,Laseractive Compatible,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,,,,,,,,,,,,,,,,,
,Neckermann,Palladium Video-Computer-Game,,,,Germany,,,Console,,,,Arcadia 2001 (Palladium),,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Arcadia_2001,01/10/21,,,,,,,,,,,,,,,,,
,New Game,Magicstr Drive,,,,Russia,,,Console,,,,Clone: Famicom,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/famiclones.htm,01/10/21,https://gameconsole.fandom.com/wiki/List_of_Famiclones,01/10/21,,,,,,,,,,,,,,,
,New Game,Magicstr Learning computer,,,,Russia,,,Console,,,,Clone: Famicom,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/famiclones.htm,01/10/21,https://gameconsole.fandom.com/wiki/List_of_Famiclones,01/10/21,,,,,,,,,,,,,,,
,New Game,Magicstr Master,,,,Russia,,,Console,,,,Clone: Famicom,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/famiclones.htm,01/10/21,https://gameconsole.fandom.com/wiki/List_of_Famiclones,01/10/21,,,,,,,,,,,,,,,
,New Game,Magicstr Military,,,,Russia,,,Console,,,,Clone: Famicom,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/famiclones.htm,01/10/21,https://gameconsole.fandom.com/wiki/List_of_Famiclones,01/10/21,,,,,,,,,,,,,,,
,New Game,Magicstr Obuch,,,,Russia,,,Console,,,,Clone: Famicom,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/famiclones.htm,01/10/21,https://gameconsole.fandom.com/wiki/List_of_Famiclones,01/10/21,,,,,,,,,,,,,,,
,New Game,Magicstr Repetitor,,,,Russia,,,Console,,,,Clone: Famicom,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/famiclones.htm,01/10/21,https://gameconsole.fandom.com/wiki/List_of_Famiclones,01/10/21,,,,,,,,,,,,,,,
,New Game,Magicstr Savia,,,,Russia,,,Console,,,,Clone: Famicom,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/famiclones.htm,01/10/21,https://gameconsole.fandom.com/wiki/List_of_Famiclones,01/10/21,,,,,,,,,,,,,,,
,New Game,Magicstr Station,,,,Russia,,,Console,,,,Clone: Famicom,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/famiclones.htm,01/10/21,https://gameconsole.fandom.com/wiki/List_of_Famiclones,01/10/21,,,,,,,,,,,,,,,
,New Game,Magicstr Turbo,,,,Russia,,,Console,,,,Clone: Famicom,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/famiclones.htm,01/10/21,https://gameconsole.fandom.com/wiki/List_of_Famiclones,01/10/21,,,,,,,,,,,,,,,
,Nichi-Man,Nichi-Man,,,,Columbia,,,Console,,,,Famicom (Rebranded MicroGenius),,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Nintendo_Entertainment_System_hardware_clone,01/10/21,https://commons.wikimedia.org/wiki/File:Nichi-Man_console_Famicom_clone.jpg,01/10/21,,,,,,,,,,,,,,,
,"NICS (USA & Japan), Systema (UK)",TV Boy,,,TV Boy 2,,,,Console,,,,Atari 2600,,,,,,,,,,,Built-in,128,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,https://bootleggames.fandom.com/wiki/TV_Boy,01/10/21,,,,,,,,,,,,,,,
,"NICS (USA & Japan), Systema (UK)",TV Boy 2,,TV Boy,TV Boy 3 (Super TV Boy),,,,Console,,,,Atari 2600,,,,,,,,,,,Built-in,128,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,https://bootleggames.fandom.com/wiki/TV_Boy,01/10/21,,,,,,,,,,,,,,,
,NIKITA Games,Megaplay,,,,Japan,,,Console,1998,,,Clone: Famicom,,,,,,,,,,,Built-in,,,,,http://www.digitpress.com/faq/vgcfaq.htm,01/10/21,https://gameconsole.fandom.com/wiki/List_of_Famiclones,01/10/21,,,,,,,,,,,,,,,
,"Nintendo de Venezuela / Nintendo, CA","Nintendo Entertainment System, Nintendo de Venezuela, Nintendo of Venezuela, N.O.V.",,,,Venezuela,,,Console,,,,Clone: NES,,,,,,,,,,,ROM (NES cartridges),,,,,https://bootleggames.fandom.com/wiki/Nintendo_de_Venezuela,01/10/21,,,,,,,,,,,,,,,,,
,Nordmende,Color TelePlay µP,,,,Germany,,Channel F,Console,1979,,,Clone: Channel F System II (licensed),,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Fairchild_Channel_F,01/10/21,http://www.racketboy.com/retro/fairchild-channel-f-101-a-beginners-guide,01/10/21,http://videogameconsolelibrary.com/pg70-fairchild.htm#page=models,01/10/21,,,,,,,,,,,,,
,NRTRADE,"Power Player Super Joy III, Power Games, XA-76-1E",,,,,,,Console,2003-2004? ,,€69.99(Italy),"Clone: NES, Famicom",,,,,,,,,,,Built-in,76,,,,https://en.wikipedia.org/wiki/Nintendo_Entertainment_System_hardware_clone,01/10/21,https://bootleggames.fandom.com/wiki/Power_Player_Super_Joy_III,01/10/21,,,,,,,,,,,,,,,
,NTDEC,Family Game,,,,,,,Console,,,,Clone: Famicom,6502 Based,,,8Z01N 9014E,,,8Z02 9025CA (PPU),,,,,,,,,http://ultimateconsoledatabase.com/famiclones.htm,01/10/21,https://gameconsole.fandom.com/wiki/List_of_Famiclones,01/10/21,https://133fsb.wordpress.com/2009/11/28/restoring-a-nice-famiclone-part-2/,01/10/21,,,,,,,,,,,,,
,OACS,Sega Mark III,,,,Korea,,Master System,Console,,,,Rebranded: Sega Master System,,,,,,,,,,,,,,,,http://scanlines16.com/blog-3/retro-gaming/sega-megadrive/samsung-super-gamboy-the-korean-sega-megadrive-2/,01/10/21,,,,,,,,,,,,,,,,,
,Odroid,Odroid Go,,,,,,,Handheld,,,,"Emulator: Game Boy, Game Boy Color, NES, and SMS",,,,,,,,,,,ROM files on micro SD-CARD,,,,,https://bootleggames.fandom.com/wiki/Odroid_Go,01/10/21,,,,,,,,,,,,,,,,,
,Orbit Electronics,UVI Compu-Game,,,,Australia,,,Console,,,,Arcadia 2001 (Orbit),,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Arcadia_2001,01/10/21,,,,,,,,,,,,,,,,,
,Ormatu,Ormatu 2001,,,,Netherlands,,,Console,,,,Arcadia 2001 (Ormatu),,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Arcadia_2001,01/10/21,,,,,,,,,,,,,,,,,
,P.I.C.,Ekusera,,,,Japan,,,Console,,,,Arcadia 2001 (MTP-03),,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Arcadia_2001,01/10/21,,,,,,,,,,,,,,,,,
,Palson,CX-3000 Data Bass Sistem,,,,Spain,,1292 APVS,Console,,,,Clone: 1292 (Interton VC-4000),,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/1292_Advanced_Programmable_Video_System,01/10/21,,,,,,,,,,,,,,,,,
,Palson,Palson CX 3000,,,,,,,Console,1978,,,VC 4000,2650,,8,,,4.43MHz,,,,,ROM,35,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,,,,,,,,,,,,,,,,,
,Panasonic,Q,,,,,,,Console,2001,,,Clone: Nintendo GameCube,PowerPC,1,,,IBM Gekko PowerPC,486MHz,Flipper (GPU),,,,,,24M,3M,,,,,,,,,,,,,,,,,,,,
,Pelican,Rumble Station,,,,US,,,Console,,,,Clone: Famicom (Color Dreams Rumble Station),6502 Based,,,NES-on-a-chip ,,,,,,,Built-in,15,,,,https://en.wikipedia.org/wiki/Nintendo_Entertainment_System_hardware_clone,01/10/21,https://bootleggames.fandom.com/wiki/Rumble_Station,01/10/21,,,,,,,,,,,,,,,
,Phillips,Phillips Telespiel,,,,,,,Console,,,,Pong,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,,,,,,,,,,,,,,,,,
4,Pioneer,LaserActive,,,,,,,Console + Laserdisc,1993,,"¥89,800","Clone: Mega drive, Sega CD, Turbografx",,,,,"Sega module (HD68HC000F + Zilog Z84C0006FEC), PC Engine module (HuC6280A)",,,,,,ROM + LD-ROM + TurboGrafx CD-ROM + SEGA-CD,33 LD-ROM games,,,,https://sega.fandom.com/wiki/Pioneer_LaserActive,01/10/21,https://console5.com/wiki/Sega_PAC-S10,01/10/21,https://console5.com/wiki/NEC_PAC-N10,01/10/21,https://console5.com/wiki/Laseractive_CLD-A100,01/10/21,,,,,,,,,,,
,Playpower Labs,PlayPower,,,,,,,Console: Educational,,,12,Clone: Famicom,,,,,,,,,,,,3,,,,https://en.wikipedia.org/wiki/PlayPower,01/10/21,,,,,,,,,,,,,,,,,
,Polybrain,Polybrain Video Computer Game,,,,Germany,,,Console,,,,Arcadia 2001 (Palladium),,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Arcadia_2001,01/10/21,,,,,,,,,,,,,,,,,
,Poppy,Poppy 9015,,,,,,,Console,,,,Pong,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,,,,,,,,,,,,,,,,,
,Poppy,Poppy MPT-03 Tele Computer Spiel,,,,Germany,,,Console,,,,Arcadia 2001 (MPT-03,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Arcadia_2001,01/10/21,,,,,,,,,,,,,,,,,
,Prestige,Prestige Video Computer Game MPT-03,,,,France,,,Console,,,,Arcadia 2001 (MPT-03,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Arcadia_2001,01/10/21,,,,,,,,,,,,,,,,,
,Prinizitronic,Prinizitronic Tournament 2000,,,,,,,Console,,,,Pong,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,,,,,,,,,,,,,,,,,
,Priztronic,"Micro 5500, Prinztronic Grandprix",,,,,,PC-50X,Console,,,,,PC-50X,,,,,,,,,,ROM PC-50X Cartridge,,,,,http://web.archive.org/web/20130330143616/http://homepages.ihug.co.nz/~pinwhiz/weird.htm,01/10/21,,,,,,,,,,,,,,,,,
,Priztronic,Prinztronic Micro 10,,,,,,,,,,,,,,,,,,,,,,,,,,,https://retroconsoles.fandom.com/wiki/Prinztronic,01/10/21,,,,,,,,,,,,,,,,,
,Priztronic,Prinztronic Tournament (VM-8),,,,,,,,,,,Rebrand: Videomaster Superscore VM-8.,AY-3-8500,,,,,,,,,,,,,,,https://retroconsoles.fandom.com/wiki/Prinztronic,01/10/21,,,,,,,,,,,,,,,,,
,Priztronic,Prinztronic Tournament 10,,,,,,,,,,,,,,,,,,,,,,,,,,,https://retroconsoles.fandom.com/wiki/Prinztronic,01/10/21,,,,,,,,,,,,,,,,,
,Priztronic,"Prinztronic Tournament II, Prinztronic Tournament II Deluxe (600002)",,,,,,,Console,1977,,,,AY-3-8500 ,,,General Instruments AY-3-8500 ,,,,,,,,,,,,https://retroconsoles.fandom.com/wiki/Prinztronic,01/10/21,,,,,,,,,,,,,,,,,
,Priztronic,Prinztronic Tournament III,,,,,,,,,,,,,,,,,,,,,,,,,,,https://retroconsoles.fandom.com/wiki/Prinztronic,01/10/21,,,,,,,,,,,,,,,,,
,Priztronic,Prinztronic Tournament IV,,,,,,,,,,,,,,,,,,,,,,,,,,,https://retroconsoles.fandom.com/wiki/Prinztronic,01/10/21,,,,,,,,,,,,,,,,,
,Priztronic,Tournament 6,,,,,,,,,,,,,,,,,,,,,,,,,,,https://retroconsoles.fandom.com/wiki/Prinztronic,01/10/21,,,,,,,,,,,,,,,,,
,Priztronic,Tournament Colour Programmable 5000,,,,,,PC-50X,,,,,,PC-50X,,,,,,,,,,,,,,,https://retroconsoles.fandom.com/wiki/Prinztronic,01/10/21,,,,,,,,,,,,,,,,,
,Priztronic,Tournament Colour Programmable TV Game 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,https://retroconsoles.fandom.com/wiki/Prinztronic,01/10/21,,,,,,,,,,,,,,,,,
,Priztronic,Tournament Mini,,,,,,,,,,,,,,,,,,,,,,,,,,,https://retroconsoles.fandom.com/wiki/Prinztronic,01/10/21,,,,,,,,,,,,,,,,,
,Priztronic,"Tournament VC 6000, Tourney VC 6000",,,,UK,,1292 APVS,Console,1979,,,Clone: 1292 APVS,,,,,,,,,,,,,,,,https://retroconsoles.fandom.com/wiki/Prinztronic,01/10/21,https://en.wikipedia.org/wiki/1292_Advanced_Programmable_Video_System,01/10/21,http://www.videogameconsolelibrary.com/pg70-1292_vc4000.htm#page=models,01/10/21,,,,,,,,,,,,,
,Priztronic,Video Sport 600,,,,,,,,,,,,AY-3-8500,,,,,,,,,,,6,,,,https://retroconsoles.fandom.com/wiki/Prinztronic,01/10/21,,,,,,,,,,,,,,,,,
,Priztronic,Video Sport 800,,,,,,,,,,,,AY-3-8500,,,,,,,,,,,8,,,,https://retroconsoles.fandom.com/wiki/Prinztronic,01/10/21,,,,,,,,,,,,,,,,,
,Qi Sheng Long,FC 3 Plus,,,,,,,Console,,,,NES/SNES/Mega Drive,,,,,,,,,,,ROM,,,,,https://bootleggames.fandom.com/wiki/FC_3_Plus,01/10/21,,,,,,,,,,,,,,,,,
,Qi Sheng Long,"FC Twin, FC X2",,,,,,,Console,,,,Clone: Famicom + SNES,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/famiclones.htm,01/10/21,https://gameconsole.fandom.com/wiki/List_of_Famiclones,01/10/21,https://bootleggames.fandom.com/wiki/FC_Twin,01/10/21,,,,,,,,,,,,,
,Qi Sheng Long,FC-Portable,,,,,,,Handheld,,,,Famicom,,,,,,,,,,,,,,,,https://bootleggames.fandom.com/wiki/Famiclone,01/10/21,,,,,,,,,,,,,,,,,
,Qi Sheng Long,"FC-Portable II, PokeFami(JP)",,,,,,,Handheld,,,,Famicom,,,,,,,,,,,,,,,,https://bootleggames.fandom.com/wiki/Famiclone,01/10/21,,,,,,,,,,,,,,,,,
,Qi Sheng Long,GN Twin,,,,,,,Console,,,,Clone: Famicom and Mega Drive ,,,,,,,,,,,ROM,,,,,https://bootleggames.fandom.com/wiki/GN_Twin,01/10/21,,,,,,,,,,,,,,,,,
,Qi Sheng Long,"Wiii3 (205 in 1), WiWi Cricket",,,,,,,Console,,,,,,,16,,,,,,,,Built-in + Cartridge,198 Built-in + 16 Cartridge ,,,,https://bootleggames.fandom.com/wiki/Wii_clone,01/10/21,,,,,,,,,,,,,,,,,
,Qi Sheng Long,"WiWi (198 in 1), Super WiWi, Sports Resort ",,,,,,,Console,,,,,,,16,,,,,,,,,198,,,,https://bootleggames.fandom.com/wiki/Wii_clone,01/10/21,,,,,,,,,,,,,,,,,
,Qi Sheng Long,"WiWi (87 in 1), Wiii3 (87 in 1)",,,,,,,Console,,,,,,,16,,,,,,,,,87,,,,https://bootleggames.fandom.com/wiki/Wii_clone,01/10/21,,,,,,,,,,,,,,,,,
,Qi Sheng Long,WiWi 32,,,,,,,Console,,,,,,,32,,,,,,,,,48,,,,https://bootleggames.fandom.com/wiki/Wii_clone,01/10/21,,,,,,,,,,,,,,,,,
,Qi Sheng Long,WiWi Simple,,,,,,,Console,,,,,,,16,,,,,,,,,18,,,,https://bootleggames.fandom.com/wiki/Wii_clone,01/10/21,,,,,,,,,,,,,,,,,
,"Radio Shack, Tandy",TandyVision One,,,,,,,Console,,,,Intellivision,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,http://www.videogameconsolelibrary.com/pg70-intelli.htm#page=models,01/10/21,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Radiola,Jet 25,,,Jet 27,France,Jet,Odyssey 2 / Videopac,Console,,,,Clone: Philips Videopac G7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Radiola,Jet 27,,Jet 25,Jet 47,France,Jet,Odyssey 2 / Videopac,Console,,,,Clone: Philips Videopac G7200,,,,,,,,,,,,,,,,http://www.videogameconsolelibrary.com/pg70-odyssey2.htm#page=models,01/10/21,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Radiola,Jet 47,,Jet 27,Jet 471,France,Jet,Odyssey 2 / Videopac,Console,,,,Clone: Philips Videopac G7400,,,,,,,,,,,,,,,,http://www.videogameconsolelibrary.com/pg70-odyssey2.htm#page=models,01/10/21,,,,,,,,,,,,,,,,,
,Radiola,Jet 741,,Jet 47,,France,Jet,Odyssey 2 / Videopac,Console,,,,Clone: Philips Videopac G7401,,,,,,,,,,,,,,,,http://www.videogameconsolelibrary.com/pg70-odyssey2.htm#page=models,01/10/21,,,,,,,,,,,,,,,,,
,Radofin,"1292 Advanced Programmable Video System, Radofin Programmierbares Video System",,,,Germany,,1292 APVS,Console,1979,,,Clone: 1292 APVS,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/1292_Advanced_Programmable_Video_System,01/10/21,http://www.videogameconsolelibrary.com/pg70-1292_vc4000.htm#page=models,01/10/21,,,,,,,,,,,,,,,
,Radofin,1392 Telesports Advanced Programmable Video System,,,,Europe,,1292 APVS,Console,1979,,,Clone: 1292 APVS,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/1292_Advanced_Programmable_Video_System,01/10/21,http://www.videogameconsolelibrary.com/pg70-1292_vc4000.htm#page=models,01/10/21,,,,,,,,,,,,,,,
,Radofin,Radofin Computer Game System,,,,Europe,,1292 APVS,Console,,,,Clone: 1292 APVS,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,,,,,,,,,,,,,,,,,
,Radofin,"Telesports 3, Programable tele-sports III",,,,,,,Console,,,,Pong,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,https://www.youtube.com/watch?v=jvCFYLfQrC0,01/10/21,,,,,,,,,,,,,,,
,Redant,Game Axe,,,,"Hong Kong, Taiwan, Japan",,,Handheld,,,,Clone: Famicom,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Game_Axe,01/10/21,,,,,,,,,,,,,,,,,
,Redant,Game Axe Color,,,,,,,Handheld,,,,Famicom,,,,,,,,,,,ROM,,,,,https://web.archive.org/web/20110206231812/http://nesplayer.com/profiles/gameaxe.htm,01/10/21,,,,,,,,,,,,,,,,,
,Retro-Bit,Super Retro Trio,,Retro Duo,,,,,Console,2014,,$69.99,"Clone: NES, SNES, Mega Drive (Game Boy and GBA with adapter)",,,8 & 16,,,,,,,,ROM,,,,,https://en.wikipedia.org/wiki/Super_Retro_Trio,01/10/21,https://www.pcmag.com/reviews/retro-bit-super-retro-trio,01/10/21,,,,,,,,,,,,,,,
3,Retroteam Neo,"Zemmix Mini, CPC-Mini ",,,,Korea,Zemmix,,Console,2019,500,,Clone: MSX,Raspberry PI,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Zemmix,01/10/21,,,,,,,,,,,,,,,,,
3,Retroteam Neo,Zemmix Neo,,,,Korea,Zemmix,,Console,,,,Clone: MSX,FPGA,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Zemmix,01/10/21,,,,,,,,,,,,,,,,,
3,Retroteam Neo,Zemmix Neo Lite,,,,Korea,Zemmix,,Console,,,,Clone: MSX,FPGA,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Zemmix,01/10/21,,,,,,,,,,,,,,,,,
,Rinco,Rinco 256-in-1,,,,,,,Console,,,,Atari 2600,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,https://atariage.com/2600/archives/consoles.php,01/10/21,,,,,,,,,,,,,,,
,Rollet,Rollet 4343 Video Secam System,,,,,,,Console,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rollet,Videocolor,SD-270,,,,,,Console,1983,,,Clone: Hanimex HMG-7900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rowton,Rowton Intelligent game system,,,,"Canada, US",,,Console,,,,Arcadia 2001,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,,,,,,,,,,,,,,,,,
,Rowton,Rowton Television Computer System,,,,"UK, New Zealand",,1292 APVS,Console,,,,Clone: 1292 APVS,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,https://en.wikipedia.org/wiki/1292_Advanced_Programmable_Video_System,01/10/21,,,,,,,,,,,,,,,
,Rowton,Tryom Video Game Center,,,,US,,,Console,,,,"Arcadia 2001, MPT-03 type",,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,https://bootleggames.fandom.com/wiki/Tyrom,01/10/21,,,,,,,,,,,,,,,
,Saba,VideoPlay,,,VideoPlay 2,"Germany, Italy",,Channel F,Console,1979,,,Clone: Channel F,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,http://videogameconsolelibrary.com/pg70-fairchild.htm#page=models,01/10/21,,,,,,,,,,,,,,,
,Saba,VideoPlay 2,,VideoPlay,,"Germany, Italy",,Channel F,Console,1979,,,Clone: Channel F System II,,,,,,,,,,,,,,,,http://videogameconsolelibrary.com/pg70-fairchild.htm#page=models,01/10/21,,,,,,,,,,,,,,,,,
,Sachen,Q-Boy,,,,,,,Console,,,,Clone: Famicom,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Nintendo_Entertainment_System_hardware_clone,01/10/21,https://web.archive.org/web/20110206234021/http://nesplayer.com/pirates/q-boy.htm,01/10/21,,,,,,,,,,,,,,,
,Sakhr,AX-330,,,,,,,Computer + Console,1992,,,"Clone: MSX, NES",,,,,,Z80,Zilog Z0840006PSC,,,,,,64k,,,https://www.msx.org/wiki/Sakhr_AX-330,01/10/21,,,,,,,,,,,,,,,,,
,Salora,Laser 2001,,,,,,Creativision,Console,,,,Creativision,,,,,,,,,,,,,,,,http://www.videogameconsolelibrary.com/pg80-creativision.htm#page=models,01/10/21,,,,,,,,,,,,,,,,,
,Samsung,3DO Player,,,,,,,Console,,,,3DO,,,,,,,,,,,,,,,,http://www.digitpress.com/faq/vgcfaq.htm,01/10/21,https://faberp.tripod.com/sams3do.htm,01/10/21,,,,,,,,,,,,,,,
,Samsung,Aladdin Boy,,,,,Aladdin Boy(Sega Master System),Master System,Console,,,,Clone: Sega Master System,,,,,,,,,,,,,,,,http://www.videogameconsolelibrary.com/pg80-sms.htm#page=models,01/10/21,,,,,,,,,,,,,,,,,
,Samsung,CD Aladdin Boy,,,,,Aladdin Boy(Sega Genesis),,,,,,Clone: Sega CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Samsung,Gam*boy,,,Gam*boy II,Korea,Gam*boy,Master System,Console,,,,Clone: Sega Master System,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,http://www.videogameconsolelibrary.com/pg80-sms.htm#page=models,01/10/21,,,,,,,,,,,,,,,
,Samsung,Gam*boy II,,Gam*boy,,Korea,Gam*boy,Master System,Console,,,,Clone: Sega Master System,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,http://www.videogameconsolelibrary.com/pg80-sms.htm#page=models,01/10/21,,,,,,,,,,,,,,,
,Samsung,SMS I,,,,Asia,,Master System,Console,,,,Clone: Sega Master System,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,,,,,,,,,,,,,,,,,
,Samsung,SMS II,,,,Korea,,Master System,Console,,,,Clone: Sega Master System,,,,,,,,,,,,1 built-in,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,,,,,,,,,,,,,,,,,
,Samsung,Super Aladdin Boy,,,,,Aladdin Boy(Sega Genesis),,,,,,Clone: Sega Genesis,,,,,,,Goldstar Z8400A PS,,,,,,,,,http://scanlines16.com/blog-3/retro-gaming/sega-megadrive/samsung-super-gamboy-the-korean-sega-megadrive-2/,01/10/21,,,,,,,,,,,,,,,,,
,Samsung,Super Gam*boy,,Gam*boy II,,Korea,Gam*boy,Mega Drive,Console,,,,Clone: Sega Mega Drive,,,,,Signetics,,Goldstar Z8400A PS,,,,,,,,,http://scanlines16.com/blog-3/retro-gaming/sega-megadrive/samsung-super-gamboy-the-korean-sega-megadrive-2/,01/10/21,,,,,,,,,,,,,,,,,
,Samurai Electronics (Nintendo),Samurai,,,,,,,,1987,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Nintendo_Entertainment_System_hardware_clone,01/10/21,,,,,,,,,,,,,,,,,
,Sanyo,"T.R.Y. 3DO Interactive Multiplayer, TRY",IMP-22J,,,Japan,,3DO,Console,1995,,,Clone: 3DO,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=xuhaiw5GQyI,01/10/21,https://faberp.tripod.com/try.htm,01/10/21,,,,,,,,,,,,,,,
,Sat Game,Video Game-GT3300,,,,Czech Republic,,,,1995,,,Clone: Famicom,,,,,,,,,,,,,,,,https://bootleggames.fandom.com/wiki/Pegasus,01/10/21,,,,,,,,,,,,,,,,,
,Schimd,TVG 2000,,,,Germany,,,Console,,,,Arcadia 2001 (MPT-03,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,,,,,,,,,,,,,,,,,
,Schmid,Schmid TVG-2000,,,,Germany,,,Console,,,,Arcadia 2001,,,,,,,,,,,,,,,,http://www.heimcomputer.de/konsolen/tvg2000.html,01/10/21,,,,,,,,,,,,,,,,,
,Schneider,7000,,,7200,,,Odyssey 2 / Videopac,Console,,,,Clone: Philips Videopac G7000,,,,,,,,,,,,,,,,http://www.videogameconsolelibrary.com/pg70-odyssey2.htm#page=models,01/10/21,,,,,,,,,,,,,,,,,
,Schneider,7200,,7000,Videopac 74+,,,Odyssey 2 / Videopac,Console,,,,Clone: Philips Videopac G7200,,,,,,,,,,,,,,,,http://www.videogameconsolelibrary.com/pg70-odyssey2.htm#page=models,01/10/21,,,,,,,,,,,,,,,,,
,Schneider,Videopac + 741,,Videopac 74+,,,Videopac,Odyssey 2 / Videopac,Console,,,,Clone: Philips Videopac G7401,,,,,,,,,,,,,,,,http://www.videogameconsolelibrary.com/pg70-odyssey2.htm#page=models,01/10/21,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Schneider,Videopac 7000,,,,,,,Console,,,,Clone: Philips Videopac,,,,,,,,,,,,,,,,http://www.digitpress.com/faq/vgcfaq.htm,01/10/21,,,,,,,,,,,,,,,,,
,Schneider,Videopac 7200,,,,,,,Console,,,,Clone: Philips Videopac,,,,,,,,,,,,,,,,http://www.digitpress.com/faq/vgcfaq.htm,01/10/21,,,,,,,,,,,,,,,,,
